State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Dept of Defense,4397410,N/A,N/A,4402465,N/A,4236096,N/A,2490928,N/A,2392643,N/A,1899253,N/A,1834257,N/A,2367810,1843300,186300,0,160124,1780842,2460333,1166,719699,1022350,157203,1,719592,957569,157095,1,1742050,N/A,2392643,N/A,0,1677162,0,2490928,194402,0,141665,0,50731,84690,6244,0,352723,0,0,2488429,0,1899132,0,719671,1022274,157186,1,4399860,0,0
Delaware,1299475,133449,168721,1061858,109047,1006107,130631,576323,59.2,547201,71,499898,51.3,476954,61.9,701295,532380,65800,0,45968,423453,591890,547,189400,265118,45138,242,189301,242308,45103,242,454760,59.2,547201,71,46.7,431851,56.1,576323,177117,93.8,158028,83.7,65266,83922,8702,138,335143,177413,687895,576165,68.6,499860,59.5,189396,265092,45130,242,1061670,126418,154735
Florida,25300755,117800,146690,21639419,100753,20857397,120928,11825212,55.1,11374608,65.9,10142856,47.2,9823582,57,13338915,10267340,1694500,0,1057754,8603544,11923967,54154,3820491,5264214,1040691,17460,3819417,4947279,1039467,17419,9102165,55.1,11374608,65.9,42.4,8784115,50.9,11825212,4065893,90.4,3556287,79.1,1757435,1607537,179620,11695,7916889,176035,562572,11817685,63.2,10141399,54.2,3819895,5264074,1039970,17460,21631163,115699,135327
Federated States of Micronesia,78800,76030,97614,53446,51567,53406,66157,32045,30.9,32000,39.6,27673,26.7,27654,34.3,0,68600,10200,0,6315,47131,0,0,21335,54,6284,0,21331,54,6269,0,21389,30.9,32000,39.6,20.6,21385,26.5,32045,2601,14.8,2369,13.5,1799,5,565,0,4393,25016,448722,32033,36.2,27666,31.3,21334,54,6278,0,53433,60370,89030
Georgia,11339195,106798,139756,8628465,81267,8275813,102000,4716692,44.4,4497460,55.4,3979871,37.5,3843397,47.4,5920155,4819840,599200,0,228622,3641766,4757014,1063,1641316,2112601,225381,573,1640801,1976978,225079,539,3754490,44.4,4497460,55.4,35.4,3618318,44.6,4716692,1238182,81.6,1084974,71.5,601643,455296,27795,240,2394035,157819,747498,4714974,52.5,3979563,44.3,1641272,2112428,225290,573,8626594,95978,126158
Guam,215770,130164,167116,194977,117620,179205,138796,104682,63.1,95974,74.3,94024,56.7,86987,67.4,122070,74200,19500,0,4989,71076,118912,0,33260,55819,4945,0,33250,48793,4944,0,89079,63.1,95974,74.3,53.7,82043,63.5,104682,15241,54.3,14211,50.6,6052,7828,331,0,29315,104372,768220,104670,73.9,94019,66.4,33259,55815,4945,0,194960,137721,152421
Hawaii,1958010,138290,175448,1699579,120038,1606807,143979,998114,70.5,937741,84,746636,52.7,712643,63.9,1101570,774740,81700,0,37595,593606,974614,93764,258971,431493,38089,18083,258393,398243,37941,18066,708547,70.5,937741,84,50,674702,60.5,998114,269999,99.9,225761,84.1,94776,121208,8367,1410,485473,180844,729381,994320,82.1,745142,61.5,258924,430091,38055,18072,1695024,139956,161671
Iowa,3506995,111154,144426,3079895,97617,2937252,120963,1642724,52.1,1565549,64.5,1539508,48.8,1475249,60.8,1858155,1460140,188700,0,129316,1299241,1651210,128,630577,782049,126785,97,630444,717984,126724,97,1412723,52.1,1565549,64.5,44.8,1348525,55.5,1642724,491028,88.8,475343,86,252168,211330,11783,62,960499,173703,634229,1642659,61.4,1539485,57.5,630570,782035,126783,97,3079863,115080,131040
Idaho,1712330,95818,127894,1346558,75350,1346003,100533,718008,40.2,716883,53.5,656814,36.8,656144,49,893790,718440,100100,0,53212,576248,716053,1045,267649,335827,53009,329,267634,335193,52989,328,603805,40.2,716883,53.5,33.8,603155,45,718008,235798,81.1,223335,76.8,103871,109889,9438,137,457629,157439,589098,717975,48,656795,43.9,267646,335820,53000,329,1346533,90045,114506
Indian Health Svc,1760015,84502,N/A,1461886,70188,1372810,N/A,810288,38.9,759162,N/A,669703,32.2,631835,N/A,762015,923300,74700,0,26266,776062,659558,0,344489,299148,26066,0,344232,261577,26026,0,643637,38.9,759162,N/A,30.9,605809,0,810288,150178,0,126222,0,72048,51476,2698,0,276739,0,0,809955,0,669556,0,344417,299088,26051,0,1461389,0,0
Illinois,14879805,117424,151004,13266486,104693,12453833,126384,7677418,60.6,7183967,72.9,5999785,47.3,5673579,57.6,8180445,5848660,850700,0,469995,5191108,7593466,11917,2242562,3284376,468857,3990,2236226,2966888,466508,3957,5530928,60.6,7183967,72.9,43.6,5207071,52.8,7677418,1849529,90.5,1525306,74.7,700901,754791,67551,2063,3332519,163100,728248,7651862,70.6,5985574,55.2,2242519,3270234,468831,3990,13226361,122039,137295
Indiana,6789450,100850,131470,5915940,87875,5654245,109488,3091471,45.9,2950412,57.1,2910729,43.2,2795369,54.1,3656130,2705820,427500,0,220410,2312570,3364510,18450,1097607,1590882,216214,6026,1097387,1475919,216065,5998,2694515,45.9,2950412,57.1,40,2579304,49.9,3091471,903690,83.2,880352,81.1,436784,414912,25557,3099,1815762,167237,625328,3091183,54.2,2910623,51,1097595,1590804,216198,6026,5915618,103691,119008
Kansas,3131065,107474,141481,2532361,86924,2428076,109716,1456682,50,1391751,62.9,1245261,42.7,1199144,54.2,1587705,1369860,173500,0,85221,1106169,1340226,745,520976,639109,84904,272,520774,593275,84831,264,1160357,50,1391751,62.9,39.8,1114313,50.4,1456682,438677,92.3,378925,79.7,184547,179391,14844,143,786920,165498,658496,1456561,59.4,1245238,50.8,520969,639100,84897,272,2532237,103285,127710
Kentucky,4536515,101541,130931,4074894,91208,3908290,112800,2249216,50.3,2154062,62.2,1988090,44.5,1916549,55.3,2278395,1991620,266500,0,169790,1775446,2129098,560,826109,995190,166129,662,825947,923911,166037,654,1821961,50.3,2154062,62.2,40.8,1750512,50.5,2249216,648922,86.5,593095,79,271008,287258,34440,389,1195665,159302,604414,2248876,59.1,1988037,52.2,826099,995169,166108,661,4073835,107032,119189
Louisiana,4123350,88697,115787,3460364,74436,3368427,94588,1830987,39.4,1778158,49.9,1669179,35.9,1630893,45.8,2061690,1823560,238100,0,129461,1562077,1767612,1214,725086,820396,123113,584,724792,782514,123007,580,1546066,39.4,1778158,49.9,33.3,1507886,42.3,1830987,592174,79.9,565816,76.4,269050,277433,19204,129,1165468,157278,556441,1830812,46.7,1669118,42.5,725070,820371,123093,584,3460162,88195,105099
Massachusetts,9838940,142748,177608,8978844,130270,8408817,151792,4917076,71.3,4602261,83.1,4327499,62.8,4070785,73.5,5454120,3940120,444700,0,297081,3571680,5109872,211,1651748,2377814,297870,67,1646501,2127532,296696,56,4029629,71.3,4602261,83.1,58.5,3774089,68.1,4917076,1129099,96.6,1011765,86.5,460790,485951,65002,22,2075448,177490,841415,4900373,81.4,4316089,71.7,1651740,2366419,297863,67,8950469,148759,163526
Maryland,8592010,142118,182382,7028617,116259,6586737,139816,3812510,63.1,3572750,75.8,3472789,57.4,3273006,69.5,4782330,3369280,440400,0,269950,2711311,4039748,7608,1286603,1921795,262192,2199,1286292,1722517,262055,2142,3210597,63.1,3572750,75.8,53.1,3010951,63.9,3812510,886599,92.4,836495,87.2,399205,386769,49865,656,1668406,173902,895565,3812076,73.8,3472638,67.3,1286571,1921704,262164,2199,7028259,136130,166419
Maine,1875540,139527,171224,1638782,121914,1552734,141754,903820,67.2,858257,78.4,841582,62.6,801879,73.2,966600,805840,103100,0,106826,690065,841423,468,331964,404206,105291,121,331912,364616,105241,110,736291,67.2,858257,78.4,54.8,696638,63.6,903820,271646,95.2,259057,90.8,118743,118563,21708,43,508674,178316,657473,903726,76.3,841554,71,331960,404199,105274,121,1638684,138293,158282
Marshall Islands,51300,87823,112755,34349,58804,34264,75310,18824,32.2,18761,41.2,16512,28.3,16482,36.2,0,40500,10800,0,1034,33315,0,0,15468,11,1033,0,15443,9,1030,0,15479,32.2,18761,41.2,26.5,15452,34,18824,1104,11.2,965,9.8,916,0,49,0,2020,20410,518339,18804,37.7,16503,33.1,15460,11,1032,0,34321,68802,102839
Michigan,11720480,117359,149440,9595338,96080,9131833,116434,5206308,52.1,4954545,63.2,4794113,48,4582593,58.4,6151440,4917240,651800,0,332344,3919106,5342491,1397,1887388,2568194,337796,735,1886867,2357408,337599,719,4456317,52.1,4954545,63.2,44.6,4244994,54.1,5206308,1503725,85.2,1430291,81,717817,649826,62176,472,2848883,161373,663899,5205983,60.6,4794027,55.8,1887368,2568142,337783,734,9594983,111634,136364
Minnesota,6600790,117043,152216,5963344,105740,5601266,129166,3253299,57.7,3061429,70.6,2978112,52.8,2808981,64.8,3613470,2638020,349300,0,265321,2328019,3369331,673,1102909,1608570,266404,229,1100882,1441963,265916,220,2711708,57.7,3061429,70.6,48.1,2543065,58.6,3253299,845122,91.8,795637,86.4,336398,413913,45268,58,1585512,172267,717179,3242256,67.9,2970107,62.2,1102897,1600595,266386,229,5944053,124402,138147
Missouri,6221915,101377,130525,5232162,85250,5017926,105267,2831523,46.1,2711215,56.9,2448067,39.9,2361237,49.5,3363255,2547260,311400,0,175800,1984445,3071416,501,906469,1365142,176353,103,906223,1278723,176197,94,2271714,46.1,2711215,56.9,37,2185040,45.8,2831523,860980,81.1,780577,73.5,357454,389769,33309,45,1647356,155113,585847,2831192,54.1,2448021,46.8,906459,1365121,176338,103,5231832,99926,118836
Northern Mariana Islands,72330,127158,163258,58107,102154,53140,119944,30619,53.8,27756,62.6,27979,49.2,25872,58.4,49530,20200,2600,0,464,8061,49582,0,3875,23634,470,0,3875,21527,470,0,27509,53.8,27756,62.6,48.4,25402,57.3,30619,2760,28.6,2663,27.6,435,2161,67,0,5355,55561,750467,30619,63,27979,57.6,3875,23634,470,0,58107,119621,148901
Mississippi,2702315,90799,118649,2055831,69077,2005715,88064,1113514,37.4,1083601,47.6,999432,33.6,978593,43,1341915,1195800,164600,0,61163,928623,1065066,979,435269,503948,60160,55,435109,483323,60107,54,939272,37.4,1083601,47.6,31.6,918486,40.3,1113514,376769,77.4,350451,72,182853,152629,14952,17,707513,145372,555240,1113409,44.2,999403,39.6,435261,503934,60153,55,2055716,81530,107174
Montana,1122175,104996,133562,954106,89271,916446,109076,516737,48.3,495769,59,465950,43.6,449659,53.5,552375,500200,69600,0,39147,426862,487435,662,200189,227470,38062,229,200107,211284,38039,229,427888,48.3,495769,59,40,411620,49,516737,171059,82.9,159798,77.4,77241,74388,8041,128,323831,156867,543592,516635,56.3,465918,50.8,200173,227459,38057,229,953971,103964,122295
North Carolina,11835770,112850,144561,9455709,90157,9004894,109985,5196611,49.5,4940563,60.3,4480299,42.7,4289846,52.4,6304290,4884980,646500,0,352936,3750190,5352145,438,1697766,2436169,346318,46,1695139,2249579,345082,46,4133981,49.5,4940563,60.3,39.4,3944764,48.2,5196611,1463749,83.6,1340691,76.6,647666,652305,40691,29,2812771,160629,675907,5187976,57.7,4475183,49.8,1697674,2431166,346297,46,9441957,105080,131720
North Dakota,726210,95295,124802,650636,85378,627425,107825,338683,44.4,326383,56.1,300531,39.4,291264,50.1,372270,317440,36500,0,29120,276994,344522,0,124170,150229,26131,1,123984,141271,26008,1,274400,44.4,326383,56.1,36,265256,45.6,338683,100047,83.5,89317,74.5,44220,41588,3509,0,194019,161892,605958,338078,53.1,300190,47.1,124165,149896,26128,1,649610,101940,113961
Nebraska,2114410,109305,144988,1893905,97906,1798568,123330,1013944,52.4,961140,65.9,938389,48.5,895707,61.4,1166730,839580,108100,0,69671,749304,1071318,3612,358182,509242,69907,1058,358053,466768,69858,1028,868482,52.4,961140,65.9,44.9,825849,56.6,1013944,276411,88.5,265982,85.1,130529,129166,5596,691,548011,175387,676702,1013724,62.7,938326,58,358162,509215,69892,1057,1893626,117078,130728
New Hampshire,1864300,137110,168798,1565641,115145,1480296,134029,864781,63.6,819732,74.2,780743,57.4,743895,67.4,998280,749320,116700,0,59142,650040,856437,22,315648,405028,60039,28,315403,368472,59992,28,720704,63.6,819732,74.2,53,683903,61.9,864781,240153,94.6,220821,87,94476,112953,13375,17,434394,171113,734370,864340,72.1,780540,65.1,315549,404946,60017,28,1565030,130575,155544
New Jersey,11744945,132230,169147,10070697,113381,9492469,136708,5692629,64.1,5370431,77.3,5029046,56.6,4767999,68.7,6335865,4802780,606300,0,381526,4056799,5632343,29,1920519,2721551,386909,67,1920121,2461127,386693,58,4642137,64.1,5370431,77.3,52.3,4381306,63.1,5692629,1328419,90,1214288,82.3,570066,564978,79217,27,2414524,163637,795979,5691961,74.7,5028907,66,1920493,2721487,386860,67,10070022,132181,154166
New Mexico,2400935,114503,148115,2427656,115777,2287386,141110,1340015,63.9,1258279,77.6,1171058,55.8,1106522,68.3,1216875,1045560,138500,0,84616,1063054,1276049,3937,483774,602926,83188,1170,483444,538850,83064,1164,1087870,63.9,1258279,77.6,51.9,1023458,63.1,1340015,356015,94.3,321970,85.3,149739,153706,17872,653,657906,174231,635831,1339803,75,1170993,65.5,483757,602889,83177,1170,2427425,135805,134323
Nevada,3157810,102521,132263,2855865,92718,2734761,114544,1578087,51.2,1506025,63.1,1326956,43.1,1280301,53.6,1723230,1250280,184300,0,129213,1109841,1616797,14,506309,693592,127039,16,506228,647056,127001,16,1199917,51.2,1506025,63.1,39,1153300,48.3,1578087,410024,82.7,365190,73.6,173823,169869,21489,9,772866,155829,636691,1578002,60.2,1326922,50.6,506305,693564,127037,16,2855824,108926,120444
New York State,24376105,125304,158027,22315774,114713,21252889,137780,11917685,61.3,11333222,73.5,10808066,55.6,10327858,67,13145085,9977120,1253900,0,978481,8867306,12464072,5915,4127284,5753216,926175,1391,4125959,5274899,925654,1346,9881891,61.3,11333222,73.5,50.8,9402204,61,11917685,2847457,86.4,2631069,79.8,1263407,1207155,159850,657,5417003,164344,739534,11916382,71,10807534,64.4,4127137,5752951,926069,1377,22314008,133034,145328
Ohio,12538445,107266,137618,10862169,92926,10381664,113945,5708141,48.8,5452243,59.8,5333324,45.6,5113475,56.1,6621945,5261000,655500,0,439372,4429928,5978980,13889,2077692,2827635,423767,4230,2077355,2608354,423597,4169,4909557,48.8,5452243,59.8,42,4689878,51.5,5708141,1720723,84.1,1646118,80.4,752567,812361,79019,2171,3363606,164373,612731,5707878,57.1,5333256,53.3,2077682,2827594,423750,4230,10861916,108612,125376
Oklahoma,4059550,102592,135105,3336576,84321,3212105,106902,1811106,45.8,1739783,57.9,1552601,39.2,1500991,50,2055930,1781320,222300,0,99387,1476864,1760241,84,663525,791136,97897,43,663329,739782,97840,40,1454704,45.8,1739783,57.9,36.8,1403151,46.7,1811106,537518,84.6,478360,75.3,245541,216001,16804,14,1009964,159016,639166,1810940,54.5,1552552,46.7,663510,791111,97888,43,3336386,100336,122084
Oregon,5692315,134961,169860,4650929,110271,4382812,130784,2511818,59.6,2366181,70.6,2313684,54.9,2190761,65.4,3028755,2353360,310200,0,178465,1825260,2644374,2830,868425,1268464,176205,590,865699,1149045,175445,572,2137479,59.6,2366181,70.6,50.7,2015316,60.1,2511818,664909,86.8,632715,82.6,288437,299304,44688,286,1249278,163074,743044,2503784,68.6,2307979,63.3,868420,1262767,176203,589,4636981,127118,156049
Pennsylvania,15871215,123975,156099,14177430,110744,13516096,132936,8176036,63.9,7785482,76.6,6513755,50.9,6246870,61.4,8057835,6752680,1060700,0,550908,5858524,7767528,470,2559882,3399528,553984,361,2558243,3134624,553662,341,5959771,63.9,7785482,76.6,46.6,5693208,56,8176036,2444231,99.9,1977202,82.6,936176,964451,76404,171,4376462,182858,663135,8173050,73.8,6512551,58.8,2559756,3398492,553942,361,14173279,127900,143222
Puerto Rico,4236710,132659,161647,3863395,120969,3615957,137963,2137877,66.9,1997846,76.2,1855140,58.1,1744926,66.6,2222970,1823740,190000,0,110058,1657498,2095498,341,765563,979799,109742,36,765268,870022,109601,35,1745398,66.9,1997846,76.2,54.7,1635325,62.4,2137877,557539,99.9,498799,91.9,253886,225657,19252,4,1034444,190531,780345,2136859,75,1854863,65.1,765518,979609,109700,36,3862142,135595,148746
Rhode Island,1530895,144511,179080,1299207,122641,1227537,143594,694787,65.6,656304,76.8,636712,60.1,604506,70.7,847215,622080,61600,0,47474,511631,739921,181,242227,346994,47457,34,242176,314858,47439,33,589255,65.6,656304,76.8,55.6,557067,65.2,694787,179160,95.8,169756,90.8,77736,86172,5838,10,345287,184600,818459,694668,74.9,636677,68.6,242223,346964,47456,34,1299111,140067,165058
Republic of Palau,24600,137376,176382,25416,141933,25416,182233,14463,80.8,14462,99.9,13284,74.2,13284,95.2,0,20800,3800,0,2113,23302,1,0,11142,27,2115,0,11142,27,2115,0,11169,80.8,14462,99.9,62.4,11169,80.1,14463,1706,56.2,1664,54.8,1444,9,211,0,3113,102604,810811,14463,94.6,13284,86.9,11142,27,2115,0,25416,166205,160868
South Carolina,5375165,104398,133130,4278441,83097,4126362,102200,2322722,45.1,2235222,55.4,2038367,39.6,1972551,48.9,2733465,2328400,313300,0,152163,1729491,2395701,1086,777580,1111215,149348,224,775770,1047763,148794,224,1889019,45.1,2235222,55.4,36.7,1823757,45.2,2322722,797604,85.1,716893,76.5,305757,385909,25073,154,1498022,159870,573643,2317827,52.4,2035524,46.1,777495,1108499,149306,224,4270632,96621,121611
South Dakota,972215,109897,145638,831554,93997,796495,119315,453546,51.3,432836,64.8,407957,46.1,393745,59,475695,437120,59400,0,26727,361503,443311,13,173392,207685,26864,16,173347,193531,26851,16,381093,51.3,432836,64.8,43.1,366894,55,453546,139189,91.6,130748,86.1,67360,59563,3816,9,262053,172550,640158,453519,61.4,407946,55.3,173390,207677,26863,16,831529,112658,131718
Tennessee,6451370,94468,121286,5565729,81499,5384447,101228,2943366,43.1,2840275,53.4,2605693,38.2,2530491,47.6,3395790,2687780,367800,0,173309,2254416,3123738,14266,1017838,1416200,167415,4240,1017500,1341524,167250,4217,2438278,43.1,2840275,53.4,35.7,2363241,44.4,2943366,912924,79.8,836363,73.1,421461,383537,28865,2500,1790603,156604,564230,2942808,50.4,2605558,44.6,1017821,1416119,167378,4240,5565072,95365,110553
Texas,32293675,111373,149535,26394645,91029,24914473,115366,14315284,49.4,13473546,62.4,12312982,42.5,11608273,53.8,17372355,13026720,1894600,0,1045826,10721856,14626083,880,4832028,6460045,1020223,686,4555476,6090317,961833,647,11297603,49.4,13473546,62.4,39,10724815,49.7,14315284,3127890,83.8,2792585,74.8,1095904,1465138,231387,156,5987456,160340,864802,14310990,59.4,12310520,51.1,4831062,6458753,1020019,686,26389441,109495,133992
